kd_klpd;nama_klpd;jenis_klpd;kd_satker;kd_satker_str;nama_satker
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;141978;452609;Balai Besar Pelatihan Vokasi dan Produktivitas Semarang
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;142170;452589;BALAI LATIHAN KERJA SORONG
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;146074;451289;Direktorat Persyaratan Kerja
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;147581;651870;Direktorat Pengawasan Norma Keselamatan dan Kesehatan Kerja
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;149098;209081;DINAS TENAGA KERJA DAN TRANSMIGRASI KABUPATEN KONAWE SELATAN
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;149447;22210;DINAS TENAGA KERJA PERINDUSTRIAN DAN TRANSMIGRASI KABUPATEN PANGANDARAN
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;149448;131109;DINAS TRANSMIGRASI KABUPATEN KAYONG UTARA
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;149449;201201;DINAS TRANSMIGRASI DAN TENAGA KERJA KABUPATEN KOLAKA TIMUR
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;149450;229187;DINAS PERINDUSTRIAN DAN TENAGA KERJA KABUPATEN KLUNGKUNG
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;149451;70445;DINAS KETENAGAKERJAAN KABUPATEN TAPANULI TENGAH
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;149452;249102;DINAS KETENAGAKERJAAN DAN TRANSMIGRASI KABUPATEN BELU
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;150052;39441;DINAS TENAGA KERJA KABUPATEN KENDAL
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;150070;29432;Dinas Koperasi Usaha Kecil dan Menengah dan Tenaga Kerja Kabupaten Tasikmalaya
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;152210;51102;Balai Pelatihan Vokasi dan Produktivitas Banyuwangi
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;152933;50302;Balai Pelatihan Vokasi dan Produktivitas Sidoarjo
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;154980;309016;DINAS TRANSMIGRASI DAN TENAGA KERJA PROVINSI  SULAWESI TENGGARA
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;157047;59022;DINAS TENAGA KERJA DAN TRANSMIGRASI PROVINSI  JAWA TIMUR
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;158218;159073;DINAS TENAGA KERJA DAN TRANSMIGRASI KAB BANJAR
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;161828;690633;Balai Perluasan Kesempatan Kerja Kendari
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;162854;352631;Balai Pelatihan Vokasi dan Produktivitas Belitung
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;163873;191206;Balai Latihan Kerja Bantaeng
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;164495;452677;Pusat Teknologi Informasi Ketenagakerjaan
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;164530;690634;Balai Perluasan Kesempatan Kerja Bekasi
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;165839;352630;Balai Pelatihan Vokasi dan Produktivitas Pangkajene dan Kepulauan
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;171546;352632;Politeknik Ketenagakerjaan
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;173618;626131;Direktorat Bina Kelembagaan Pelatihan Vokasi
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;176042;626011;Pusat Pasar Kerja
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;177670;451026;Ditjen Pembinaan Pelatihan Vokasi dan Produktivitas
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;178609;626132;Direktorat Bina Penyelenggaraan Pelatihan Vokasi dan Pemagangan
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;179088;626041;Direktorat Bina Perluasan Kesempatan Kerja
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;179095;139014;Dinas Tenaga Kerja dan Transmigrasi Provinsi Kalimantan Barat DK 05
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;179179;19069;Dinas Tenaga Kerja Transmigrasi dan Energi Provinsi DKI Jakarta DK 05
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;179217;309020;Dinas Tenaga Kerja Provinsi Kepulauan Bangka Belitung DK 05
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;179218;309024;Dinas Tenaga Kerja Provinsi Kepulauan Bangka Belitung DK 08
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;179225;209016;Dinas Transmigrasi dan Tenaga Kerja Provinsi Sulawesi Tenggara DK 05
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;179226;39091;Dinas Tenaga Kerja dan Transmigrasi Provinsi Jawa Tengah DK 05
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;179227;49009;Dinas Tenaga Kerja dan Transmigrasi DI Yogyakarta DK 05
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;179229;119006;Dinas Tenaga Kerja dan Transmigrasi Provinsi Sumatera Selatan DK 05
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;179230;239219;Dinas Tenaga Kerja dan Transmigrasi Provinsi Nusa Tenggara DK 05
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;179231;109012;Dinas Tenaga Kerja dan Transmigrasi Provinsi Jambi DK 05
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;179241;249012;Dinas Tenaga Kerja dan Transmigrasi Provinsi Nusa Tenggara Timur DK 05
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;179242;350017;Dinas Tenaga Kerja dan Transmigrasi Provinsi Kalimantan Utara DK 05
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;179244;319014;Dinas Penanaman Modal ESDM dan Transmigrasi Provinsi Gorontalo DK 05
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;179245;189008;Dinas Tenaga Kerja dan Transmigrasi Provinsi Sulawesi Tengah DK 05
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;179246;229014;Dinas Ketenagakerjaan dan Energi Sumber Daya Mineral Provinsi Bali DK 05
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;179247;99000;Dinas Tenaga Kerja dan Transmigrasi Provinsi Riau DK 05
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;179248;69075;Dinas Tenaga Kerja dan Mobilitas Penduduk Provinsi Aceh  DK 05
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;179309;289006;Dinas Tenaga Kerja dan Transmigrasi Provinsi Maluku Utara DK 05
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;179310;29010;Dinas Tenaga Kerja dan Transmigrasi Provinsi Jawa Barat DK 05
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;179311;269009;Dinas Ketenagakerjaan dan Transmigrasi Provinsi Bengkulu DK 05
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;179315;179017;Dinas Tenaga Kerja dan Transmigrasi Provinsi Sulawesi Utara DK 05
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;179317;129011;Dinas Tenaga Kerja Provinsi Lampung DK 05
