kd_kegiatan,asal_dana,mak,tahun_anggaran,kd_satker_str,status_umumkan_rup,asal_dana_satker,id_paket_anggaran_swakelola,jenis_dana_apbn,pagu,sumber_dana,jenis_klpd,nama_klpd,status_delete_rup,kd_satker,kd_rup_lokal,nama_satker,tahun_anggaran_dana,kd_komponen,kd_subkegiatan,status_aktif_rup,kd_klpd,kd_rup,asal_dana_klpd,last_update_ref
13610373,K34,DL.4057.SCO.030.056.0A.521213,2026,051102,Terumumkan,Balai Pelatihan Vokasi dan Produktivitas Banyuwangi,600994325,PNBP,5800000,APBN,KEMENTERIAN,Kementerian Ketenagakerjaan,false,152210,,Balai Pelatihan Vokasi dan Produktivitas Banyuwangi,2026,5407685,,true,K34,43532435,Kementerian Ketenagakerjaan,57dbe10c-25b3-5ac2-8bdd-35321ac7748f.MYYEmXEb4YHh-NYV.ZIL-yX29u6BA9DGulrXaCU4OlN8C1BDI7zfwmv4ss68
13610373,K34,DL.4057.SCO.030.057.0A.522151,2026,051102,Terumumkan,Balai Pelatihan Vokasi dan Produktivitas Banyuwangi,600994413,PNBP,6400000,APBN,KEMENTERIAN,Kementerian Ketenagakerjaan,false,152210,,Balai Pelatihan Vokasi dan Produktivitas Banyuwangi,2026,5407682,,true,K34,43532444,Kementerian Ketenagakerjaan,57dbe10c-25b3-5ac2-8bdd-35321ac7748f.MYYEmXEb4YHh-NYV.ZIL-yX29u6BA9DGulrXaCU4OlN8C1BDI7zfwmv4ss68
13610373,K34,DL.4057.SCO.030.055.O5.265263,2026,051102,Terumumkan,Balai Pelatihan Vokasi dan Produktivitas Banyuwangi,600992062,PNBP,14720000,APBN,KEMENTERIAN,Kementerian Ketenagakerjaan,false,152210,,Balai Pelatihan Vokasi dan Produktivitas Banyuwangi,2026,5407683,,true,K34,43532308,Kementerian Ketenagakerjaan,57dbe10c-25b3-5ac2-8bdd-35321ac7748f.MYYEmXEb4YHh-NYV.ZIL-yX29u6BA9DGulrXaCU4OlN8C1BDI7zfwmv4ss68
13767529,K34,DN.2175.BDC.006.051.0b.522131,2026,259322,Terumumkan,BALAI BESAR PERLUASAN KESEMPATAN KERJA,591353069,PNBP,638220000,APBN,KEMENTERIAN,Kementerian Ketenagakerjaan,false,14075,,BALAI BESAR PERLUASAN KESEMPATAN KERJA,2026,5281619,,true,K34,42916287,Kementerian Ketenagakerjaan,57dbe10c-25b3-5ac2-8bdd-35321ac7748f.MYYEmXEb4YHh-NYV.ZIL-yX29u6BA9DGulrXaCU4OlN8C1BDI7zfwmv4ss68
13610373,K34,DL.4057.SCO.030.051.0A.522151,2026,051102,Terumumkan,Balai Pelatihan Vokasi dan Produktivitas Banyuwangi,600957839,PNBP,6400000,APBN,KEMENTERIAN,Kementerian Ketenagakerjaan,false,152210,,Balai Pelatihan Vokasi dan Produktivitas Banyuwangi,2026,5407684,,true,K34,43531316,Kementerian Ketenagakerjaan,57dbe10c-25b3-5ac2-8bdd-35321ac7748f.MYYEmXEb4YHh-NYV.ZIL-yX29u6BA9DGulrXaCU4OlN8C1BDI7zfwmv4ss68
13767529,K34,DN.2175.BDC.006.051.0b.522131,2026,259322,Terumumkan,BALAI BESAR PERLUASAN KESEMPATAN KERJA,591352347,PNBP,638220000,APBN,KEMENTERIAN,Kementerian Ketenagakerjaan,false,14075,,BALAI BESAR PERLUASAN KESEMPATAN KERJA,2026,5281619,,true,K34,42916134,Kementerian Ketenagakerjaan,57dbe10c-25b3-5ac2-8bdd-35321ac7748f.MYYEmXEb4YHh-NYV.ZIL-yX29u6BA9DGulrXaCU4OlN8C1BDI7zfwmv4ss68
13610373,K34,DL.4057.SCO.030.053.O5.265263,2026,051102,Terumumkan,Balai Pelatihan Vokasi dan Produktivitas Banyuwangi,600957771,PNBP,53760000,APBN,KEMENTERIAN,Kementerian Ketenagakerjaan,false,152210,,Balai Pelatihan Vokasi dan Produktivitas Banyuwangi,2026,5407687,,true,K34,43531310,Kementerian Ketenagakerjaan,57dbe10c-25b3-5ac2-8bdd-35321ac7748f.MYYEmXEb4YHh-NYV.ZIL-yX29u6BA9DGulrXaCU4OlN8C1BDI7zfwmv4ss68
13666446,K34,DN.2175.QEA.002.051.0A.526312,2026,626041,Terumumkan,Direktorat Bina Perluasan Kesempatan Kerja,582858215,PNBP,12230000000,APBN,KEMENTERIAN,Kementerian Ketenagakerjaan,false,179088,,Direktorat Bina Perluasan Kesempatan Kerja,2026,5224494,,true,K34,42092596,Kementerian Ketenagakerjaan,57dbe10c-25b3-5ac2-8bdd-35321ac7748f.MYYEmXEb4YHh-NYV.ZIL-yX29u6BA9DGulrXaCU4OlN8C1BDI7zfwmv4ss68
13610373,K34,DL.4057.SCO.030.053.0A.521213,2026,051102,Terumumkan,Balai Pelatihan Vokasi dan Produktivitas Banyuwangi,600957660,PNBP,5800000,APBN,KEMENTERIAN,Kementerian Ketenagakerjaan,false,152210,,Balai Pelatihan Vokasi dan Produktivitas Banyuwangi,2026,5407687,,true,K34,43531303,Kementerian Ketenagakerjaan,57dbe10c-25b3-5ac2-8bdd-35321ac7748f.MYYEmXEb4YHh-NYV.ZIL-yX29u6BA9DGulrXaCU4OlN8C1BDI7zfwmv4ss68
13610373,K34,DL.4057.SCO.030.052.O5.265263,2026,051102,Terumumkan,Balai Pelatihan Vokasi dan Produktivitas Banyuwangi,600958770,PNBP,42880000,APBN,KEMENTERIAN,Kementerian Ketenagakerjaan,false,152210,,Balai Pelatihan Vokasi dan Produktivitas Banyuwangi,2026,5407686,,true,K34,43531416,Kementerian Ketenagakerjaan,57dbe10c-25b3-5ac2-8bdd-35321ac7748f.MYYEmXEb4YHh-NYV.ZIL-yX29u6BA9DGulrXaCU4OlN8C1BDI7zfwmv4ss68
13610373,K34,DL.4057.SCO.030.054.0A.522151,2026,051102,Terumumkan,Balai Pelatihan Vokasi dan Produktivitas Banyuwangi,600991665,PNBP,11200000,APBN,KEMENTERIAN,Kementerian Ketenagakerjaan,false,152210,,Balai Pelatihan Vokasi dan Produktivitas Banyuwangi,2026,5407688,,true,K34,43532288,Kementerian Ketenagakerjaan,57dbe10c-25b3-5ac2-8bdd-35321ac7748f.MYYEmXEb4YHh-NYV.ZIL-yX29u6BA9DGulrXaCU4OlN8C1BDI7zfwmv4ss68
13610373,K34,DL.4057.SCO.030.051.O5.265263,2026,051102,Terumumkan,Balai Pelatihan Vokasi dan Produktivitas Banyuwangi,600957864,PNBP,21120000,APBN,KEMENTERIAN,Kementerian Ketenagakerjaan,false,152210,,Balai Pelatihan Vokasi dan Produktivitas Banyuwangi,2026,5407684,,true,K34,43531321,Kementerian Ketenagakerjaan,57dbe10c-25b3-5ac2-8bdd-35321ac7748f.MYYEmXEb4YHh-NYV.ZIL-yX29u6BA9DGulrXaCU4OlN8C1BDI7zfwmv4ss68
