Nama Instansi,Nama Satuan Kerja,Kode Paket,Kode RUP,Tahun Anggaran,Sumber Transaksi,Sumber Dana,Nama Penyedia,Metode Pengadaan,Jenis Pengadaan,Nama Paket,Status Paket,Total Nilai (Rp),Nilai PDN (Rp)
KEMENTERIAN KETENAGAKERJAAN,DITJEN PHI DAN JAMSOS - ,01KK8BR4AJDPTRQYJTJ9CF83DW,65242511,2026,E-Katalog 6.0,APBN,BINTANG ANUGRAH PERSADA,E-Purchasing,Jasa Lainnya,Paket Meeting Fullboard Konteks PPHI pada luar PHI/MA,COMPLETED,165600000,165600000
KEMENTERIAN KETENAGAKERJAAN,DITJEN PHI DAN JAMSOS - ,01KNKD952DS03F4Q09KX50FYWJ,66123873,2026,E-Katalog 6.0,APBN,SERANG ASRI HOTEL,E-Purchasing,Jasa Lainnya,"Paket Meeting Fullboard Peserta, Penyelenggara, dan Moderator",COMPLETED,72000000,72000000
KEMENTERIAN KETENAGAKERJAAN,DITJEN. PEMBINAAN HUBUNGAN INDUSTRIAL DAN JAMINAN SOSIAL TENAGA KERJA - 451270,01KKAV3TYFNZBP9WWXXB6F6JEM,66263501,2026,E-Katalog 6.0,APBN,HILSCO ARTHA MAS,E-Purchasing,Jasa Lainnya,Paket Meeting Fullboard Peserta dan Panitia Penyelenggara,COMPLETED,142500000,142500000
KEMENTERIAN KETENAGAKERJAAN,DITJEN. PEMBINAAN HUBUNGAN INDUSTRIAL DAN JAMINAN SOSIAL TENAGA KERJA - 451270,01KJYGCQ8YDFKB8P96YP9DMPH2,66228975,2026,E-Katalog 6.0,APBN,DAFAM MAMBO INTERNATIONAL,E-Purchasing,Jasa Lainnya,"Paket Pertemuan Fullboard Peserta, Moderator, dan Penyelenggara Luar Kota Peningkatan Kemampuan Early Warning System Potensi Perselisihan HI bagi Pelaku Hubungan Industrial ",PAYMENT OUTSIDE SYSTEM,121600000,121600000
KEMENTERIAN KETENAGAKERJAAN,BALAI BESAR PELATIHAN VOKASI DAN PRODUKTIVITAS SERANG - 426531,01KN1A3ZY9V4T8KMXKYNPHQM6T,66342568,2026,E-Katalog 6.0,APBN,ABDYTHA MEGAH BERSAMA,E-Purchasing,Barang,Pengadaan Bahan Pelatihan Vokasi UPTP RM (60 Paket),COMPLETED,40082322,40082322
KEMENTERIAN KETENAGAKERJAAN,BALAI PELATIHAN VOKASI DAN PRODUKTIVITAS BANDUNG BARAT - 021212,01KMJ3WGYTWPBVKRQTC01R4F3E,66590697,2026,E-Katalog 6.0,APBN,MITRA USAHA ABADI,E-Purchasing,Barang,ATK Pelaksanaan Sertifikasi Lulusan Pelatihan,PAYMENT OUTSIDE SYSTEM,65889600,65889600
KEMENTERIAN KETENAGAKERJAAN,BIRO PERENCANAAN - ,01KT6B8RYXVZ0BRRWG7QKCHM57,67241317,2026,E-Katalog 6.0,APBN,EMINENCE HOSPITALITY SERVICES,E-Purchasing,Jasa Lainnya,Pengadaan Paket Fullboard Meeting Single Bimbingan Teknis Siklus Perencanaan dan Penganggaran,COMPLETED,2398000,2398000
KEMENTERIAN KETENAGAKERJAAN,BALAI BESAR PELATIHAN VOKASI DAN PRODUKTIVITAS SEMARANG - 452609,01KN6GE9XPSC54JYB21P77XMWM,66186051,2026,E-Katalog 6.0,APBN,DWI JAYA AGUNG,E-Purchasing,Barang,Belanja Bahan PBK Reguler Luring,COMPLETED,841602,841602
KEMENTERIAN KETENAGAKERJAAN,BALAI BESAR PELATIHAN VOKASI DAN PRODUKTIVITAS SERANG - 426531,01KKDRA79BJRWPEY7RR061HSXD,66342568,2026,E-Katalog 6.0,APBN,SINAR RAFIAN,E-Purchasing,Barang,Pengadaan Bahan Pelatihan Vokasi UPTP RM (60 Paket),COMPLETED,197586105,197586105
KEMENTERIAN KETENAGAKERJAAN,DITJEN PHI DAN JAMSOS - ,01KN6BMAYJJMQDR5MDXRFF86EX,65242486,2026,E-Katalog 6.0,APBN,GRAND CIRINDO,E-Purchasing,Jasa Lainnya,Paket Meeting Fullboard Moderator Dialog Pembentukan Arbitrase (Luar Kota),PAYMENT OUTSIDE SYSTEM,178710000,178710000
