id_paket_anggaran_penyedia;kd_klpd;kd_satker_str;sumber_dana;tahun_anggaran_dana;status_delete_rup;status_aktif_rup;status_umumkan_rup;mak;pagu;kd_kegiatan;kd_rup;kd_komponen;nama_satker;asal_dana;jenis_klpd;asal_dana_satker;jenis_dana_apbn;kd_satker;nama_klpd;asal_dana_klpd;tahun_anggaran;last_update_ref;kd_rup_lokal;kd_subkegiatan
581895719;K34;352631;APBN;2026;FALSE;TRUE;Terumumkan;WA.6988.EBA.994.002.0A.522191;380835000;13590439;63517711;5118499;Balai Pelatihan Vokasi dan Produktivitas Belitung;K34;KEMENTERIAN;Balai Pelatihan Vokasi dan Produktivitas Belitung;RUPIAH MURNI;162854;Kementerian Ketenagakerjaan;Kementerian Ketenagakerjaan;2026;7dac5ffe-9c0e-5e16-a713-d4bbc1ea1608.bXDZFlaTDT1bdJZO.bPdDKq8q0yZDL8eMI_w-XnUXKF3oqqC1XpTHbZgxtik;;
579147895;K34;021212;APBN;2026;FALSE;TRUE;Terumumkan;DL.4053.PDI.002.051.0D.521211;35700000;13622150;62821597;5171851;Balai Pelatihan Vokasi dan Produktivitas Bandung Barat;K34;KEMENTERIAN;Balai Pelatihan Vokasi dan Produktivitas Bandung Barat;RUPIAH MURNI;94422;Kementerian Ketenagakerjaan;Kementerian Ketenagakerjaan;2026;7dac5ffe-9c0e-5e16-a713-d4bbc1ea1608.bXDZFlaTDT1bdJZO.bPdDKq8q0yZDL8eMI_w-XnUXKF3oqqC1XpTHbZgxtik;;
596439439;K34;452542;APBN;2026;FALSE;TRUE;Terumumkan;DL.4057.SCO.010.068.0B.521211;4700000;;66814932;5219583;Balai Besar Pelatihan Vokasi dan Produktivitas Bandung;K34;KEMENTERIAN;Balai Besar Pelatihan Vokasi dan Produktivitas Bandung;RUPIAH MURNI;14110;Kementerian Ketenagakerjaan;Kementerian Ketenagakerjaan;2026;7dac5ffe-9c0e-5e16-a713-d4bbc1ea1608.bXDZFlaTDT1bdJZO.bPdDKq8q0yZDL8eMI_w-XnUXKF3oqqC1XpTHbZgxtik;;
588139286;K34;626131;APBN;2026;FALSE;TRUE;Terumumkan;DL.4056.PDE.002.051.0C.521211;750000;13878328;65118083;5313675;Direktorat Bina Kelembagaan Pelatihan Vokasi;K34;KEMENTERIAN;Direktorat Bina Kelembagaan Pelatihan Vokasi;PNBP;173618;Kementerian Ketenagakerjaan;Kementerian Ketenagakerjaan;2026;7dac5ffe-9c0e-5e16-a713-d4bbc1ea1608.bXDZFlaTDT1bdJZO.bPdDKq8q0yZDL8eMI_w-XnUXKF3oqqC1XpTHbZgxtik;;
592405092;K34;451026;APBN;2026;FALSE;TRUE;Terumumkan;DL.4060.PFA.003.051.0A.522191;2852294000;13623329;66092178;5174015;Ditjen Pembinaan Pelatihan Vokasi dan Produktivitas;K34;KEMENTERIAN;Ditjen Pembinaan Pelatihan Vokasi dan Produktivitas;PINJAMAN LUAR NEGERI;177670;Kementerian Ketenagakerjaan;Kementerian Ketenagakerjaan;2026;7dac5ffe-9c0e-5e16-a713-d4bbc1ea1608.bXDZFlaTDT1bdJZO.bPdDKq8q0yZDL8eMI_w-XnUXKF3oqqC1XpTHbZgxtik;;
581456317;K34;230302;APBN;2026;FALSE;TRUE;Terumumkan;DL.4057.SCO.032.054.0B.521211;640000;13777688;63390468;5284589;Balai Pelatihan Vokasi dan Produktivitas Lombok Timur;K34;KEMENTERIAN;Balai Pelatihan Vokasi dan Produktivitas Lombok Timur;RUPIAH MURNI;94650;Kementerian Ketenagakerjaan;Kementerian Ketenagakerjaan;2026;7dac5ffe-9c0e-5e16-a713-d4bbc1ea1608.bXDZFlaTDT1bdJZO.bPdDKq8q0yZDL8eMI_w-XnUXKF3oqqC1XpTHbZgxtik;;
594872471;K34;450938;APBN;2026;FALSE;TRUE;Terumumkan;WA.2158.EBA.994.002.0E.523121;60021000;13599601;66559151;5136480;Sekretariat Jenderal;K34;KEMENTERIAN;Sekretariat Jenderal;RUPIAH MURNI;14054;Kementerian Ketenagakerjaan;Kementerian Ketenagakerjaan;2026;7dac5ffe-9c0e-5e16-a713-d4bbc1ea1608.bXDZFlaTDT1bdJZO.bPdDKq8q0yZDL8eMI_w-XnUXKF3oqqC1XpTHbZgxtik;;
592472064;K34;191206;APBN;2026;FALSE;TRUE;Terumumkan;DL.4057.SCO.007.052.0A.521211;10698000;;66100285;5135828;Balai Pelatihan Vokasi dan Produktivitas Bantaeng;K34;KEMENTERIAN;Balai Pelatihan Vokasi dan Produktivitas Bantaeng;PNBP;95119;Kementerian Ketenagakerjaan;Kementerian Ketenagakerjaan;2026;7dac5ffe-9c0e-5e16-a713-d4bbc1ea1608.bXDZFlaTDT1bdJZO.bPdDKq8q0yZDL8eMI_w-XnUXKF3oqqC1XpTHbZgxtik;;
593983291;K34;452652;APBN;2026;FALSE;TRUE;Terumumkan;DL.4057.SCO.003.052.0C.521211;22400000;13834096;66400073;5299591;Balai Besar Pelatihan Vokasi dan Produktivitas Makassar;K34;KEMENTERIAN;Balai Besar Pelatihan Vokasi dan Produktivitas Makassar;RUPIAH MURNI;14123;Kementerian Ketenagakerjaan;Kementerian Ketenagakerjaan;2026;7dac5ffe-9c0e-5e16-a713-d4bbc1ea1608.bXDZFlaTDT1bdJZO.bPdDKq8q0yZDL8eMI_w-XnUXKF3oqqC1XpTHbZgxtik;;
591537803;K34;452558;APBN;2026;FALSE;TRUE;Terumumkan;DL.4057.SCO.008.051.0A.521211;67200000;13584917;65916449;5103312;Balai Besar Pelatihan Vokasi dan Produktivitas Bekasi;K34;KEMENTERIAN;Balai Besar Pelatihan Vokasi dan Produktivitas Bekasi;PNBP;14111;Kementerian Ketenagakerjaan;Kementerian Ketenagakerjaan;2026;7dac5ffe-9c0e-5e16-a713-d4bbc1ea1608.bXDZFlaTDT1bdJZO.bPdDKq8q0yZDL8eMI_w-XnUXKF3oqqC1XpTHbZgxtik;;
